S#,Date,Time,Location,City,Province,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children  ,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F)
1,"Friday, June 18, 2004",22:00,Near Wana,south Waziristan,FATA,,1,0,4,,,,5,,,N,Blast occured in courtyard of the house of long-time friend- the late SherZamanAshrafkhel where Nek Mohammad and his colleagues were having dinner,Village in Wana,http://archives.dawn.com/2004/06/19/top1.htm,69.9,33.0333,28.475,83.255
2,"Sunday, May 08, 2005",23:30,Mir Ali (Near Afghan Border),North Waziristan,FATA,1,,0,1,,,,2,,,N,Drone struck a car driven by local warlord- killing both him and his passenger Ali-Yemeni,Civilian killied was Samiullah Khan who was a Local warlord,http://www.msnbc.msn.com/id/7847008/,70.1455,32.9746,11.475,52.655
3,"Thursday, December 01, 2005",,Haisori- Miran Shah,North Waziristan,FATA,1,,0,1,,3,,5,,2,,Explosive occurred at a mud house,No. 3 Al-Qaeda's Leader AbuHamza Rabia killed in a drone attack,http://edition.cnn.com/2005/WORLD/asiapcf/12/03/pakistan.rabia/,70.1455,32.9746,7.08,44.744
4,"Friday, January 06, 2006",,Saidgai village- 115km north of Wana,North Waziristan,FATA,,,,,,,,3,,2,,,,http://www.reuters.com/article/2007/04/27/us-pakistan-violence-idUSISL11111020070427,70.1455,32.9746,0.535,32.963
5,"Friday, January 13, 2006",3:00,Damadola Village,Bajaur  Agency,FATA,,,0,18,,,,18,,2,Y,Three houses were tarheted in Damadola village- 50 kilometers from the Afghan Border.,Masood Khan house was among those bombed. Wanted Al Qaeda suspect Mualana Faqir Muhammad's house was 10 km away.,http://www.dailytimes.com.pk/default.asp?page=2006\01\14\story_14-1-2006_pg1_1,71.5,34.6833,10.025,50.045
6,"Monday, October 30, 2006",,Chenagai,Bajaur  Agency,FATA,,,0,82,,,,82,,,Y,Explosion on Seminary filled with students,21 teenagers were killed,http://archives.dawn.com/2006/10/31/top1.htm,71.5,34.6833,18.12,64.616
7,"Friday, April 27, 2007",,Saidgai village,North Waziristan,FATA,,,0,2,,2,,4,,2,,attack on house of Habibullah which was next to religious school- run by a pro-taliban cleric,millitanta were killed while making bombs,http://www.reuters.com/article/idUSISL11111020070427,70.1455,32.9746,25.77,78.386
8,"Tuesday, June 19, 2007",10:30,MamiRogha- Dattakhel,North Waziristan,FATA,,,20,32,,,20,32,,15,Y,Explosion occured at cluster of 3 houses and tents (suspected training camp) plus a religious school,millitanta were killed while making bombs,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100207666&Issue=NP_LHE&Date=20070620,70.1455,32.9746,24.395,75.911
9,"Friday, November 02, 2007",,Dandey darpakhel-Miranshah,North Waziristan,FATA,,,5,8,,2,5,10,6,12,,Missile killed the militants inside a compound near madrassa- established by jalaluddinHaqqani,House was training camp and explosives store by isuregents loyal to Baitullah Mehsud,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100291757&Issue=NP_LHE&Date=20071103,70.1455,32.9746,15.325,59.585
10,"Monday, December 03, 2007",,Jani Khel,Bannu,KPK,,,,,,,,,,1,,,,http://archives.dawn.com/archives/39900,70.6042,32.9861,13.79,56.822
11,"Tuesday, January 29, 2008",4:00,Khushali village,North Waziristan,FATA,1,,5,7,5,7,12,13,,2,Y,Missile hit a house of local resident,Dead were pro taliban militants and some of them were arabs and Central Asians,http://news.bbc.co.uk/2/hi/south_asia/7220823.stm,70.1455,32.9746,2.18,35.924
12,"Thursday, February 28, 2008",2:00,Kalosha,south Waziristan,FATA,,,7,8,,6,8,13,,3,,Missile hit a house which was rented out to an Arab,Large number of Arabs and other fireigners are living in this area for many years and doing business with local tribals,http://archives.dawn.com/2008/02/29/top1.htm,69.9,33.0333,15.575,60.035
13,"Sunday, March 16, 2008",15:35,Dhok Pirbagh- WANA,South Waziristan,FATA,,,0,0,,20,,20,5,8,,seven missiles landed on a house of  Noorullah,Arabs were holding meeting in house which was located half km from the station of Taliban commander Maulvi Nazir,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100370680&Issue=NP_LHE&Date=20080317,69.9,33.0333,18.32,64.976
14,"Tuesday, April 01, 2008",,Miran shah,North Waziristan,FATA,,,0,3,,,,3,,,,2 missiles hit a house ,,http://www.nawaiwaqt.com.pk/E-Paper/Lahore/2010-04-06/page-1/detail-7,70.1455,32.9746,16.21,61.178
15,"Wednesday, May 14, 2008",20:00,Damadola Village- near Afghan border,Bajaur  Agency,FATA,1,,12,19,,,12,20,,,Y,Missile hit the compound of Maulvi Ismail where militants have gatherd for dinner. ,surrounding are is in hands of millitants linked to the pakistan taliban militants group- who have been blamed for killing of  Benazir Bhutto,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100406926&Issue=NP_LHE&Date=20080515,71.5,34.6833,27.24,81.032
16,"Saturday, June 14, 2008",,Makeen,South Waziristan,FATA,,,0,1,,,,1,,,,three missiles were fired at a house in a bid to targe the hideout of Threek-e-taliban Pakistan Chief Baitullah Mehsud,this incident comes just days after an airstrike by US Led,http://www.dailytimes.com.pk/default.asp?page=2008\06\15\story_15-6-2008_pg7_5,69.9,33.0333,27.975,82.355
17,"Monday, July 28, 2008",,Azam Warsak- Near Wana,South Waziristan,FATA,1,,,6,,,6,7,,3,Y,pre-dawn attack blitzed a house close to a madrasa used by militants known as hotbed of Taliban and al Qaeda support,Abu Khabab al-Masri- an Egyptian chemist regarded as one of al Qaeda's top bomb makers died in attack,http://www.dailytimes.com.pk/default.asp?page=2008\07\29\story_29-7-2008_pg1_1,69.9,33.0333,27.47,81.446
18,"Wednesday, August 13, 2008",20:30,Baghar near Angoor adda- WANA,South Waziristan,FATA,,,10,12,,8,10,20,,,,attack on suspected hideout of militants,Rehman Wazir who id reported to have been killed in the attack belonged to pro militant group led by MaulviNazir,http://www.express.com.pk/epaper/PoPupwindow.aspx?newsID=1100463739&Issue=NP_LHE&Date=20080814,69.9,33.0333,26.855,80.339
