"S.","Date","Time","Location","City","Province","No.of.Strike","Al.Qaeda","Taliban","Civilians.Min","Civilians.Max","Foreigners.Min","Foreigners.Max","Total.Died.Min","Total.Died.Mix","Injured.Min","Injured.Max","Women.Children","Longitude","Latitude","Year","Tenure","Count","Total.Terrorists.killed"
1,2004-06-18,"22:00","Near Wana","South Waziristan","FATA",1,0,1,0,4,0,0,0,5,0,0,"N",69.9,33.0333,"2004","George W. Bush",1,1
2,2005-05-08,"23:30","Mir Ali (Near Afghan Border)","North Waziristan","FATA",1,1,0,0,1,0,0,0,2,0,0,"N",70.1455,32.9746,"2005","George W. Bush",1,1
3,2005-12-01,"","Haisori- Miran Shah","North Waziristan","FATA",1,1,0,0,1,0,3,0,5,0,2,"",70.1455,32.9746,"2005","George W. Bush",1,1
4,2006-01-06,"","Saidgai village- 115km north of Wana","North Waziristan","FATA",1,0,0,0,0,0,0,0,3,0,2,"",70.1455,32.9746,"2006","George W. Bush",1,0
5,2006-01-13,"3:00","Damadola Village","Bajaur  Agency","FATA",1,0,0,0,18,0,0,0,18,0,2,"Y",71.5,34.6833,"2006","George W. Bush",1,0
6,2006-10-30,"","Chenagai","Bajaur  Agency","FATA",1,0,0,0,82,0,0,0,82,0,0,"Y",71.5,34.6833,"2006","George W. Bush",1,0
7,2007-04-27,"","Saidgai village","North Waziristan","FATA",1,0,0,0,2,0,2,0,4,0,2,"",70.1455,32.9746,"2007","George W. Bush",1,0
8,2007-06-19,"10:30","MamiRogha- Dattakhel","North Waziristan","FATA",3,0,0,20,32,0,0,20,32,0,15,"Y",70.1455,32.9746,"2007","George W. Bush",1,0
9,2007-11-02,"","Dandey darpakhel-Miranshah","North Waziristan","FATA",1,0,0,5,8,0,2,5,10,6,12,"",70.1455,32.9746,"2007","George W. Bush",1,0
10,2007-12-03,"","Jani Khel","Bannu","KPK",1,0,0,0,0,0,0,0,0,0,1,"",70.6042,32.9861,"2007","George W. Bush",1,0
11,2008-01-29,"4:00","Khushali village","North Waziristan","FATA",1,1,0,5,7,5,7,12,13,0,2,"Y",70.1455,32.9746,"2008","George W. Bush",1,1
